癥捡
三径 san'jing
薄钢 bo'gang
米戏 mi'xi
娇娃 jiao'wa
腊街 la'jie
滴丁 di'ding
这呀 zhe'ya
洪庙 hong'miao
阿施 e'shi
拍手 pai'shou
界埠 jie'bu
预扭 yu'niu
芒坡 wang'po
调左 tiao'zuo
够冲 gou'chong
姨丈 yi'zhang
坚盾 jian'dun
田治 tian'zhi
吾立 wu'li
煮粥 zhu'zhou
小红 xiao'hong
柳卡 liu'qia
马老 ma'lao
生地 sheng'di
段潇 duan'xiao
宾内 bin'na
民街 min'jie
丹虎 dan'hu
赵寨 zhao'zhai
能防 neng'fang
晏城 yan'cheng
毒菱 du'ling
随尾 sui'wei
参普 cen'pu
双臣 shuang'chen
玉夫 yu'fu
招庄 zhao'zhuang
地尺 di'chi
云比 yun'bi
西坦 xi'tan
酒喜 jiu'xi
旗石 qi'dan
葱白 cong'bai
振达 zhen'da
忘情 wang'qing
科提 ke'di
趋同 qu'tong
磷黄 lin'huang
三世 san'shi
戳刺 chuo'ci
农和 nong'he
单值 dan'zhi
怡缘 yi'yuan
竿体 gan'ti
斗神 dou'shen
光面 guang'mian
狗地 gou'di
碰热 peng're
持世 chi'shi
姜斌 jiang'bin
叶曼 ye'man
彭绩 peng'ji
通身 tong'shen
弄卓 nong'zhuo
见参 xian'can
富后 fu'hou
上钱 shang'qian
浪漫 lang'man
武庙 wu'miao
蛮对 man'dui
台谭 tai'tan
仗藜 zhang'li
内国 nei'guo
李馨 li'xin
董朱 dong'shu
黑榆 hei'yu
垫塘 dian'tang
严北 yan'bei
唐乌 tang'wu
色日 se'ri
白皇 bai'huang
天候 tian'hou
那片 na'pian
巴东 ba'dong
谈南 tan'na
金泗 jin'si
群盼 qun'pan
碾山 nian'shan
微车 wei'che
考览 kao'lan
天识 tian'shi
张渠 zhang'ju
输沙 shu'sha
京叶 jing'xie
由吾 you'yu
戴僧 dai'seng
福和 fu'he
却巴 que'ba
云河 yun'he
波羊 bo'xiang
么喝 ma'he
眼内 yan'nei
石隙 shi'xi
行坑 hang'keng
耐盐 nai'yan
鸽属 ge'zhu
块吧 kuai'ba
个十 ge'shi
元王 yuan'wang
拉滨 la'bin
君荣 jun'rong
云种 yun'zhong
总箱 zong'xiang
尧么 yao'me
冰环 bing'huan
朝浪 chao'lang
块体 kuai'ti
墅后 shu'hou
还神 huan'shen
不少 bu'shao
旋照 xuan'zhao
摩短 mo'duan
反动 fan'dong
中弯 zhong'wan
马宅 ma'zhai
居隐 ju'yin
一使 yi'shi
蛮火 man'huo
长楼 chang'lou
走湖 zou'hu
赵慨 zhao'kai
接君 jie'jun
长扎 zhang'zha
冲制 chong'zhi
点过 dian'guo
吊门 diao'men
哈谈 ha'tan
万街 mo'jie
再好 zai'hao
典乐 dian'le
板长 ban'zhang
七赖 qi'lai
贸院 mao'yuan
新俄 xin'e
子叔 zi'shu
圣诺 sheng'nuo
皮擦 pi'ca
迪霸 di'ba
掉粉 diao'fen
维博 wei'bo
榨下 zha'xia
普洒 pu'sa
海栖 hai'qi
占事 zhan'shi
思冲 si'chong
三护 san'hu
诱攻 you'gong
龙都 long'dou
有门 you'men
怀南 huai'nan
黄井 huang'jing
达门 da'men
方伯 fang'ba
光困 guang'kun
弄限 long'xian
兰卡 lan'ka
夸姐 kua'jie
炊具 chui'ju
南武 nan'wu
唐敖 tang'ao
深洼 shen'wa
血风 xie'feng
牛闺 niu'gui
羊亚 yang'ya
细月 xi'yue
冯庄 feng'zhuang
列装 lie'zhuang
毛你 mao'ni
因说 yin'shuo
咪制 mi'zhi
他宗 ta'zong
箱棋 xiang'qi
幽匪 you'fei
母角 mu'jue
柯坊 ke'fang
弄松 nong'song
师寻 shi'xun
那缴 nei'zhuo
科说 ke'yue
昭滑 zhao'hua
气开 qi'kai
儒吴 ru'wu
上串 shang'chuan
州山 zhou'shan
韩后 han'hou
地葵 di'kui
奇饭 qi'fan
纳乌 na'wu
彬弟 bin'di
跑菜 pao'cai
甲落 jia'la
奖状 jiang'zhuang
宿固 su'gu
曲酒 qu'jiu
眼形 yan'xing
金巍 jin'wei
果章 guo'zhang
那逸 na'yi
苍口 cang'kou
重劈 chong'pi
勇士 yong'shi
遮除 zhe'chu
值域 zhi'yu
张舒 zhang'shu
熊尾 xiong'wei
扼喉 e'hou
仲想 zhong'xiang
刘祝 liu'zhu
门钩 men'gou
施仇 shi'chou
庙界 miao'jie
体儿 ti'er
着曲 zhao'qu
达务 da'wu
达乐 da'lao
了办 liao'ban
卷舌 juan'she
丧心 sang'xin
是吧 shi'ba
赖渣 lai'zha
俊俊 jun'jun
蕉科 qiao'ke
零划 ling'hua
重点 zhong'dian
培益 pei'yi
冬灵 dong'ling
灵者 ling'zhe
混描 hun'miao
祝名 zhu'ming
排号 pai'hao
高佑 gao'you
委屈 wei'qu
角蕨 jue'jue
师桥 shi'qiao
写热 xie're
市南 shi'nan
长吻 chang'wen
速帮 su'bang
夏堡 xia'bu
吾去 yu'qu
给帮 gei'bang
肚得 du'de
杀岗 sha'gang
讳之 hui'zhi
闹头 nao'tou
重站 zhong'zhan
东干 dong'gan
同连 tong'lian
梅殷 mei'yin
扎枪 za'qiang
得弟 dei'ti
林额 lin'e
崇岳 chong'yue
苛难 ke'nan
绸裤 chou'ku
海丰 hai'feng
抽日 chou'ri
专业 zhuan'ye
么卓 me'zhuo
花眼 hua'yan
代吕 dai'lv
中脊 zhong'ji
翠亨 cui'heng
顶马 ding'ma
缆鱼 lan'yu
役鬼 yi'gui
丁茜 ding'qian
任章 ren'zhang
祝铺 zhu'pu
凌坝 ling'ba
回潮 hui'chao
主值 zhu'zhi
俊能 jun'nai
茶梯 cha'ti
阿吾 a'wu
长扒 zhang'ba
莎那 sha'na
陆查 liu'cha
琼洲 qiong'zhou
丘班 qiu'ban
十铁 shi'tie
小策 xiao'ce
艾东 yi'dong
方毛 fang'mao
巧虎 qiao'hu
二补 er'bu
古兹 gu'ci
么四 ma'si
压灸 ya'jiu
风村 feng'cun
换热 huan're
裸归 luo'gui
魔袍 mo'pao
横模 heng'mo
减等 jian'deng
牟追 mou'dui
锋快 feng'kuai
烂井 lan'jing
整歌 zheng'ge
窃喜 qie'xi
招致 zhao'zhi
锅田 guo'tian
败跟 bai'gen
酒吊 jiu'diao
合赖 ge'lai
邵清 shao'qing
摘解 zhai'xie
脑膜 nao'mo
仲热 zhong're
霞口 xia'kou
认房 ren'fang
孙碾 sun'nian
地潘 di'pan
记弄 ji'long
海污 hai'wu
灵氏 ling'shi
几塘 ji'tang
伯瑜 bo'yu
多结 duo'jie
支南 zhi'na
包田 bao'tian
圈消 juan'xiao
光解 guang'jie
过好 guo'hao
善华 shan'hua
童桥 tong'qiao
碎女 sui'nv
房叔 fang'shu
香些 xiang'xie
招安 zhao'an
铁南 tie'na
仰坑 yang'keng
资水 zi'shui
熊坡 xiong'po
去市 qu'shi
旺拉 wang'la
黎恩 li'en
素方 su'fang
铝酸 lv'suan
依倍 yi'bei
虾当 ha'dang
拉攻 la'gong
弄玲 long'ling
姜坤 jiang'kun
岗切 gang'qie
抬庄 tai'zhuang
一屯 yi'tun
农口 nong'kou
追古 dui'gu
干才 gan'cai
本贡 ben'gong
山乡 shan'xiang
乐摩 yue'mo
翼型 yi'xing
双购 shuang'gou
六达 lu'da
幻有 huan'you
洲心 zhou'xin
石豆 shi'dou
但你 dan'ni
手牌 shou'pai
李模 li'mo
大朱 dai'shu
椅垫 yi'dian
人很 ren'hen
碧错 bi'cuo
飞头 fei'tou
查温 zha'wen
举贱 ju'jian
林零 lin'ling
梦舞 meng'wu
智隐 zhi'yin
江铭 jiang'ming
碧土 bi'tu
的邪 di'ye
温傅 wen'fu
齐江 qi'jiang
尼奇 ni'qi
药车 yao'ju
果那 guo'nei
飘单 piao'shan
屯后 tun'hou
清光 qing'guang
私汤 si'tang
脏啊 zang'a
归单 gui'chan
杨注 yang'zhu
应知 ying'zhi
千堂 qian'tang
屏墙 ping'qiang
同落 tong'la
威固 wei'gu
奔时 ben'shi
恒家 heng'jia
朱朝 zhu'chao
川泽 chuan'ze
谨宪 jin'xian
茂六 mao'liu
几长 ji'zhang
中会 zhong'hui
党院 dang'yuan
环碧 huan'bi
尾伦 wei'lun
雷王 lei'wang
隆盛 long'sheng
雀波 qiao'bo
藏些 cang'suo
韦熙 wei'xi
轰天 hong'tian
挡销 dang'xiao
迟列 chi'lie
夹夹 xia'xia
某么 mou'me
觅晴 mi'qing
脚通 jue'tong
贾陆 jia'lu
逼都 bi'dou
首部 shou'bu
西猪 xi'zhu
碘斑 dian'ban
缘丽 yuan'li
柔石 rou'shi
庄源 zhuang'yuan
颜店 yan'dian
钟屏 zhong'bing
操滴 cao'di
大仲 dai'zhong
项集 xiang'ji
壳拉 ke'la
巧变 qiao'bian
汤灶 shang'zao
那旱 na'han
储储 chu'chu
安庄 an'zhuang
涝驼 lao'tuo
暗笑 an'xiao
键能 jian'neng
敏思 min'si
什托 shen'tuo
囊怀 nang'huai
弄勤 nong'qin
也热 ye're
薛桥 xue'qiao
馕坑 nang'keng
森莫 sen'mo
顶朝 ding'chao
回归 hui'gui
江暇 jiang'xia
鲁溪 lu'xi
冠成 guan'cheng
列被 lie'bei
元镜 yuan'jing
拉冒 la'mao
汇锋 hui'feng
邵弄 shao'long
骨肌 gu'ji
把零 ba'ling
奥莎 ao'suo
钱徽 qian'hui
六样 lu'yang
屯桥 tun'qiao
小词 xiao'ci
弄捐 long'juan
朱多 shu'duo
泳池 yong'chi
古象 gu'xiang
下低 xia'di
弄格 long'ge
后身 hou'shen
董内 dong'na
杨楼 yang'lou
佐腾 zuo'teng
安提 an'ti
贡桌 gong'zhuo
打容 da'rong
刺鼠 ci'shu
萨利 sa'li
殷源 yan'yuan
强坡 qiang'po
冯交 ping'jiao
场后 chang'hou
和社 huo'she
佐博 zuo'bo
盖地 gai'de
打蛇 da'she
都铎 dou'duo
席庄 xi'zhuang
绿伞 lv'san
王母 wang'mu
六梅 liu'mei
高孙 gao'xun
坡岩 po'yan
喜助 xi'zhu
碎膝 sui'xi
奔东 ben'dong
斜部 xie'bu
洗坑 xi'keng
枪巴 qiang'ba
党弯 dang'wan
盖纳 he'na
担柴 dan'chai
软管 ruan'guan
怪忙 guai'mang
泰奇 tai'ji
后池 hou'chi
小洒 xiao'sa
血骨 xue'gu
作观 zuo'guan
松坝 song'ba
家折 jia'zhe
裸逛 luo'guang
大虎 da'hu
选态 xuan'tai
古亚 gu'ya
喃哥 nan'ge
食宴 shi'yan
宝鸿 bao'hong
那项 na'xiang
那闹 na'nao
荫山 yin'shan
精管 jing'guan
行呀 hang'ya
红汗 gong'han
莫块 mo'kuai
卜李 bu'li
钟基 zhong'ji
色都 shai'dou
铝热 lv're
礼场 li'chang
打坳 da'ao
麦铁 mai'tie
祝良 zhu'liang
渣饼 zha'bing
古苑 gu'yuan
受洗 shou'xi
奇邪 qi'ye
岳庙 yue'miao
草忌 cao'ji
后沿 hou'yan
蛮标 man'biao
周进 zhou'jin
万辅 mo'fu
打碗 da'wan
立将 li'jiang
乃时 nai'shi
林立 lin'li
红池 gong'chi
帅不 shuai'fou
吉鹿 ji'lu
石成 dan'cheng
召地 zhao'di
结体 jie'ti
大故 da'gu
潮头 chao'tou
陆台 lu'tai
坐势 zuo'shi
钟那 zhong'nei
砍前 kan'qian
巨鳌 ju'ao
母布 mu'bu
冰欠 bing'qian
大架 da'jia
河光 he'guang
宝牌 bao'pai
县头 xuan'tou
裕房 yu'fang
罗坦 luo'tan
前网 qian'wang
懂角 dong'jue
舞步 wu'bu
赌圣 du'sheng
弄管 nong'guan
膝折 xi'she
大净 tai'cheng
鞋刹 xie'cha
楚寨 chu'zhai
得细 dei'xi
紫牛 zi'niu
岩勒 yan'le
喷头 pen'tou
将位 qiang'wei
古所 gu'suo
信解 shen'xie
子子 zi'zi
类酷 lei'ku
带你 dai'ni
昂约 ang'yue
都知 dou'zhi
博乌 bo'wu
退覆 tui'fu
钟乐 zhong'yue
年哈 nian'ha
按住 an'zhu
润邦 run'bang
早化 zao'hua
白名 bai'ming
溪儿 xi'er
豆营 dou'ying
渔潭 yu'tan
东日 dong'ri
板恩 ban'en
龙京 long'jing
潘阁 pan'ge
捡么 jian'yao
卜寨 bo'zhai
也生 ye'sheng
卡落 ka'luo
藏纳 cang'na
天板 tian'ban
望雅 wang'ya
前韩 qian'han
廖灵 liao'ling
月薪 yue'xin
鞋树 xie'shu
蓝段 lan'duan
士的 shi'de
购买 gou'mai
险恶 xian'e
更丰 geng'feng
引哈 yin'ha
粘竹 nian'zhu
夏网 xia'wang
咸庄 xian'zhuang
尹边 yin'bian
独义 du'yi
久落 jiu'luo
迟付 chi'fu
九岗 jiu'gang
虚晕 xu'yun
嘉铭 jia'ming
宛俊 wan'jun
破玉 po'yu
即立 ji'li
说丢 shui'diu
常宋 chang'song
暗槽 an'cao
东羊 dong'yang
团南 tuan'na
大罕 da'han
乌莹 wu'ying
陶粒 tao'li
安坡 an'po
在籍 zai'ji
石血 dan'xue
蚁巢 yi'chao
旁改 pang'gai
佳柔 jia'rou
莫玛 mu'ma
帕潘 pa'pan
黄翁 huang'weng
那了 na'liao
党转 dang'zhuan
上徐 shang'xu
银汁 yin'zhi
平量 ping'liang
诺丁 nuo'zheng
欢桑 huan'sang
那亡 na'wang
田田 tian'tian
瑞帕 rui'pa
万一 wan'yi
坡烟 po'yan
禅石 chan'shi
内血 nei'xue
机弄 ji'nong
白瓜 bai'gua
似鸟 si'niao
桥修 qiao'xiu
贤街 xian'jie
叶琼 xie'qiong
莱泽 lai'ze
恶岭 wu'ling
昆家 kun'jia
乱斗 luan'dou
握把 wo'ba
黄献 huang'xian
抓牢 zhua'lao
骚呢 sao'ni
绝热 jue're
泪器 lei'qi
再得 zai'de
童一 tong'yi
联投 lian'tou
投胎 tou'tai
加宗 jia'zong
咬架 yao'jia
为喃 wei'nan
董茹 dong'ru
洋丹 yang'dan
精科 jing'ke
惊信 jing'xin
债券 zhai'quan
力弗 li'fu
上艾 shang'ai
米布 mi'bu
夏古 xia'gu
万戴 mo'dai
拿土 na'tu
新廊 xin'lang
觉民 jiao'min
弃谷 qi'yu
靠身 kao'shen
导到 dao'dao
抗米 kang'mi
洗脱 xi'tuo
军变 jun'bian
热沙 re'sha
致列 zhi'lie
觉给 jue'gei
妥龙 tuo'long
装旦 zhuang'dan
炎芒 yan'mang
六面 liu'mian
宁嗽 ning'sou
村地 cun'de
他可 ta'ke
么还 me'hai
她冒 jie'mo
若龙 re'long
久游 jiu'you
银浦 yin'pu
雷轰 lei'hong
卡哄 qia'hong
海魄 hai'po
宗征 zong'zheng
桑连 sang'lian
轻舞 qing'wu
八木 ba'mu
勒么 le'me
陶洪 yao'hong
非讲 fei'jiang
被疏 pi'shu
南高 na'gao
型渠 xing'ju
交期 jiao'qi
后坝 hou'ba
金锭 jin'ding
廖跃 liao'yue
放我 fang'wo
角奎 jiao'kui
忆事 yi'shi
那岁 na'sui
彭蕾 bang'lei
丁繁 ding'fan
拿呀 na'ya
场路 chang'lu
比条 bi'tiao
半蕾 ban'lei
母店 mu'dian
销号 xiao'hao
莫抑 mu'yi
菊村 ju'cun
锡港 xi'jiang
欧贸 ou'mao
户头 hu'tou
辛街 xin'jie
九中 jiu'zhong
刺突 ci'tu
那割 nei'ge
白多 bai'duo
觉格 jiao'ge
还歇 huan'xie
羊头 yang'tou
内通 na'tong
劣魔 lie'mo
缩地 suo'di
莫愚 mo'yu
辛罗 xin'luo
了翁 liao'weng
积乳 ji'ru
男型 nan'xing
弄果 nong'guo
且兰 ju'lan
片瓦 pian'wa
二桥 er'qiao
伏饮 fu'yin
除暴 chu'bao
荆玻 jing'bo
新袁 xin'yuan
盲公 mang'gong
团朴 tuan'piao
感块 gan'kuai
儿滴 er'di
鸿楚 hong'chu
弄冠 nong'guan
唐岛 tang'dao
紫宫 zi'gong
化石 hua'shi
自主 zi'zhu
弄栽 long'zai
淋浊 lin'zhuo
英大 ying'dai
足达 zu'da
举力 ju'li
约纳 yue'na
支勒 zhi'lei
坡内 po'na
冲头 chong'tou
司务 si'wu
帮且 bang'qu
远涌 yuan'yong
垄龙 long'long
合型 ge'xing
更菜 geng'cai
沙溪 sha'xi
益莫 yi'mu
花意 hua'yi
枣叶 zao'ye
学士 xue'shi
弄强 long'qiang
克板 ke'ban
骚南 sao'nan
九铺 jiu'pu
曾捷 zeng'jie
寡蛋 gua'dan
宅坦 zhai'tan
霞杯 xia'bei
番背 pan'bei
烈元 lie'yuan
嘎囊 ga'nang
去不 qu'bu
富氏 fu'zhi
病忆 bing'yi
陷落 xian'luo
右门 you'men
丁皋 zheng'hao
葛睿 ge'rui
体距 ti'ju
混用 hun'yong
莫好 mo'hao
炎灭 yan'mie
订正 ding'zheng
昌浦 chang'pu
波则 bo'ze
晚了 wan'le
鳞剥 lin'bao
变律 bian'lv
皇品 huang'pin
蛇牙 she'ya
云庐 yun'lu
缘膜 yuan'mo
传人 chuan'ren
雷教 lei'jiao
迟哦 chi'e
白排 bai'pai
担丘 dan'qiu
浮竹 fu'zhu
铁片 tie'pian
徐询 xu'xun
温湾 wen'wan
弄矮 nong'ai
龙费 long'fei
逼测 bi'ce
借此 jie'ci
陈演 chen'yan
黎刀 li'dao
蛋茶 dan'cha
古卡 gu'qia
初日 chu'ri
接种 jie'zhong
顺动 shun'dong
御伯 yu'bo
读贴 dou'tie
一次 yi'ci
粪坑 fen'keng
沿途 yan'tu
似么 shi'mo
甲豆 jia'dou
那府 nei'fu
带感 dai'gan
各摆 ge'bai
行滞 xing'zhi
公会 gong'hui
速宝 su'bao
赖港 lai'gang
马嘴 ma'zui
通选 tong'xuan
施乐 shi'le
三自 san'zi
普达 pu'da
遍地 bian'di
戴奥 dai'ao
低频 di'pin
陆弼 liu'bi
洋糖 yang'tang
沙佛 sha'bi
练好 lian'hao
村寨 cun'zhai
定基 ding'ji
萨琦 sa'qi
华融 hua'rong
血雀 xie'qiao
摄尧 she'yao
后嘴 hou'zui
肖店 xiao'dian
收集 shou'ji
停靠 ting'kao
中雏 zhong'chu
扭扭 niu'niu
中革 zhong'ge
保呆 bao'dai
围河 wei'he
皮石 pi'dan
源朝 yuan'chao
奇味 qi'wei
大屠 da'tu
郭寰 guo'huan
兰鑫 lan'xin
渣吗 zha'ma
姚理 yao'li
媚儿 mei'er
图礼 tu'li
鞠藏 ju'cang
李恒 li'heng
定数 ding'shu
听嘎 ting'ga
罗墩 luo'dun
大降 dai'jiang
覆雨 fu'yu
紧凑 jin'cou
莲丰 lian'feng
立信 li'xin
布落 bu'luo
排果 pai'guo
鼎鑫 ding'xin
诺画 nuo'hua
尤奇 you'qi
稀度 xi'duo
区间 qu'jian
谷室 gu'shi
长绿 chang'lv
会比 kuai'bi
藏娃 zang'wa
羊牛 yang'niu
无梦 wu'meng
桂品 gui'pin
秋城 qiu'cheng
二围 er'wei
必敬 bi'jing
跳大 tao'da
细横 xi'heng
银雕 yin'diao
江洲 jiang'zhou
呛声 qiang'sheng
织户 zhi'hu
鸡牌 ji'pai
迟卡 chi'qia
苏侃 su'kan
彭埠 bang'bu
镐子 hao'zi
音王 yin'wang
官唐 guan'tang
上毛 shang'mao
喃不 nan'bu
那伯 nei'ba
尼舍 ni'she
叶石 ye'dan
拜好 bai'hao
戈符 ge'fu
色非 se'fei
顶庄 ding'zhuang
前胜 qian'sheng
铃阁 ling'ge
齐顺 qi'shun
射流 she'liu
朱顶 zhu'ding
顶剪 ding'jian
弄架 long'jia
绣石 xiu'dan
小裂 xiao'lie
狼途 lang'tu
处微 chu'wei
瓦藏 wa'cang
铁关 tie'guan
互润 hu'run
霍寺 huo'si
大欧 da'ou
借坡 jie'po
后装 hou'zhuang
南陆 na'lu
铭州 ming'zhou
仙村 xian'cun
联魁 lian'kui
血兰 xue'lan
骆县 luo'xuan
稽家 qi'jia
鹤村 he'cun
那郎 nei'lang
安鑫 an'xin
南董 nan'dong
约住 yue'zhu
一和 yi'he
瑞康 rui'kang
庆忌 qing'ji
砌式 qie'shi
炉食 lu'si
丹岗 dan'gang
月成 yue'cheng
青瓦 qing'wa
六垛 lu'duo
卡桥 ka'qiao
精气 jing'qi
道综 dao'zong
油颊 you'jia
卦辞 gua'ci
夏泽 xia'shi
扎多 za'duo
帕字 pa'zi
大旁 da'pang
花姿 hua'zi
夏奕 xia'yi
泥勒 ni'le
次间 ci'jian
打夜 da'ye
铁色 tie'se
道屯 dao'zhun
去我 qu'wo
鹤嘴 he'zui
压东 ya'dong
凭乃 ping'nai
锡永 xi'yong
怒扑 nu'pu
像片 xiang'pian
争鸣 zheng'ming
羊西 xiang'xi
新景 xin'jing
支谦 zhi'qian
滞流 zhi'liu
竹坡 zhu'po
贺鲁 he'lu
城高 cheng'gao
浩印 hao'yin
方弼 fang'bi
初人 chu'ren
菌汤 jun'shang
狼锤 lang'chui
徐单 xu'shan
大徐 da'xu
记下 ji'xia
松着 song'zhe
冀棉 ji'mian
童观 tong'guan
给鲁 ji'lu
外朝 wai'chao
尉景 wei'ying
时河 shi'he
旧乡 jiu'xiang
牺人 xi'ren
曾哥 zeng'ge
坐床 zuo'chuang
切吃 qie'chi
往王 wang'wang
半程 ban'cheng
豫津 yu'jin
乔坤 qiao'kun
嗲嗲 dia'dia
观园 guan'yuan
孙昊 xun'hao
找莫 zhao'mu
秦葵 qin'kui
荆潭 jing'tan
青枝 qing'qi
太拔 tai'ba
洪窑 hong'yao
女汉 ru'han
杂顶 za'ding
策兰 ce'lan
仰望 yang'wang
水造 shui'zao
弟说 di'yue
桃南 tao'nan
召勒 zhao'le
席特 xi'te
武渡 wu'du
俞纲 shu'gang
返粉 fan'fen
乾洗 qian'xi
吴店 wu'dian
官都 guan'dou
么提 me'di
坡元 po'yuan
山钢 shan'gang
壮武 zhuang'wu
组界 zu'jie
团岭 tuan'ling
吞巴 tun'ba
税则 shui'ze
魔块 mo'kuai
重诵 chong'song
琼大 qiong'dai
肖泰 xiao'tai
上翁 shang'weng
麻他 ma'ta
仆从 pu'cong
得邦 de'bang
群戏 qun'xi
骆兴 luo'xing
棠阴 tang'yin
瓜江 gua'jiang
弧垂 hu'chui
围龙 wei'long
雅皮 ya'pi
夏伍 xia'wu
贱尿 jian'sui
莫面 mo'mian
得母 dei'mu
梅馨 mei'xin
郭解 guo'xie
大舒 da'shu
周未 zhou'wei
谭院 tan'yuan
暴港 bao'jiang
倒盖 dao'ge
她变 jie'bian
唯歌 wei'ge
泽谭 ze'tan
玄刚 xuan'gang
渊吞 yuan'tun
球坑 qiu'keng
刘虞 liu'yu
辛炳 xin'bing
桥炉 qiao'lu
摩珂 mo'ke
许综 xu'zeng
法端 fa'duan
兄兄 xiong'xiong
恶们 wu'men
纳则 na'ze
屯谷 zhun'yu
姑鸟 gu'niao
李搏 li'bo
登别 deng'bie
表山 biao'shan
银枝 yin'zhi
旱夫 han'fu
舒沁 shu'qin
乙下 yi'xia
后堡 hou'pu
义肢 yi'zhi
烧味 shao'wei
夹佐 xia'zuo
味谈 wei'tan
里假 li'jia
坡脑 po'nao
泗岭 si'ling
参孙 can'xun
碎如 sui'ru
社丰 she'feng
炸的 zha'de
同前 tong'qian
书强 shu'jiang
不长 bu'chang
池坎 chi'kan
取石 qu'shi
容限 rong'xian
冯凭 ping'ping
脚荣 jiao'rong
双室 shuang'shi
拼我 pin'wo
英水 ying'shui
伏州 fu'zhou
碎子 sui'zi
提懂 ti'dong
盘托 pan'tuo
短刺 duan'ci
六传 lu'zhuan
安现 an'xian
黄王 huang'wang
招波 zhao'bo
苍蓝 cang'lan
律法 lv'fa
上款 shang'kuan
平兑 ping'dui
陈合 chen'he
纺大 fang'dai
已质 yi'zhi
馨泰 xin'tai
嫂得 sao'de
黎度 li'du
之娘 zhi'niang
秋播 qiu'bo
上叶 shang'ye
扶养 fu'yang
尾份 wei'bin
飞狸 fei'li
许嘴 hu'zui
宝元 bao'yuan
六边 liu'bian
沈昭 shen'zhao
光君 guang'jun
迷贵 mi'gui
圆座 yuan'zuo
万下 wan'xia
阿冷 e'leng
个爽 ge'shuang
石琢 shi'zhuo
京胡 jing'hu
井队 jing'dui
富万 fu'mo
好装 hao'zhuang
号结 hao'jie
辽寇 liao'kou
