闲湖 xian'hu
达棒 da'bang
那各 nei'ge
朱堵 shu'du
寻川 xun'chuan
串行 chuan'hang
谭布 tan'bu
鼓到 gu'dao
汤泉 tang'quan
甲亨 jia'peng
学拍 xue'pai
王泽 wang'ze
富马 fu'ma
捏好 nie'hao
贾苗 gu'miao
益多 yi'duo
丰发 feng'fa
豆粉 dou'fen
雷叶 lei'ye
王卡 wang'ka
城华 cheng'hua
各社 ge'she
响刘 xiang'liu
刺辊 ci'gun
月称 yue'chen
箭蝶 jian'die
若青 ruo'qing
叶卜 ye'bu
英支 ying'zhi
肖杨 xiao'yang
溪潭 xi'tan
隆弟 long'ti
柳眼 liu'yan
才沟 cai'gou
度口 du'kou
雅卡 ya'qia
仓决 cang'jue
破坏 po'huai
吉地 ji'de
慢动 man'dong
驼脂 tuo'zhi
丁拥 zheng'yong
期咪 ji'mi
破槽 po'cao
等角 deng'jiao
港战 gang'zhan
扎布 za'bu
丝丝 si'si
者都 zhe'dou
喷弹 pen'tan
周泽 zhou'ze
老吧 lao'ba
芒弄 wang'long
那寒 na'han
放量 fang'liang
结吉 jie'ji
朗依 lang'yi
旧地 jiu'di
桑岛 sang'dao
业物 ye'wu
地伏 de'fu
十和 shi'huo
受先 shou'xian
加番 jia'pan
炎帝 yan'di
丑些 chou'xie
带舍 dai'she
亚洲 ya'zhou
相屯 xiang'tun
怪属 guai'shu
肖星 xiao'xing
陇红 long'gong
粘牢 zhan'lao
王桥 wang'qiao
羊他 yang'ta
余关 yu'guan
沈渝 shen'yu
元源 yuan'yuan
耳柯 er'ke
张应 zhang'ying
南尖 na'jian
诗夏 shi'xia
团期 tuan'qi
毕竟 bi'jing
饶古 rao'gu
鑫富 xin'fu
横滑 heng'hua
书柜 shu'gui
砸边 za'bian
模经 mu'jing
吕墩 lv'dun
一刚 yi'gang
奥该 yu'gai
锋源 feng'yuan
苗弯 miao'wan
轻响 qing'xiang
莺儿 ying'er
那良 nei'liang
艾梁 yi'liang
中岸 zhong'an
弄降 long'jiang
丹瑞 dan'rui
沈史 shen'shi
曾雀 zeng'qiao
赵师 zhao'shi
佑圣 you'sheng
倩曼 qian'man
外万 wai'wan
更报 geng'bao
长晋 chang'jin
许妹 hu'mei
女奴 nv'nu
张边 zhang'bian
双尾 shuang'wei
水清 shui'qing
庆下 qing'xia
游阁 you'ge
侨虹 qiao'hong
绿娘 lu'niang
凤瑜 feng'yu
江佑 jiang'you
要闻 yao'wen
博和 bo'huo
许地 hu'de
半埠 ban'bu
来那 lai'nei
对拉 dui'la
青油 qing'you
东宅 dong'zhai
陶和 yao'he
么吃 yao'chi
参皇 shen'huang
产瘤 chan'liu
交累 jiao'lei
欧森 ou'sen
报仇 bao'chou
莫聊 mo'liao
杨瓦 yang'wa
员村 yuan'cun
唯识 wei'shi
齐转 qi'zhuai
亚二 ya'er
秦先 qin'xian
圣帕 sheng'pa
奇台 qi'tai
沉弄 chen'nong
雨婷 yu'ting
动车 dong'che
那斐 na'fei
倍式 bei'shi
荣曾 rong'ceng
后刷 hou'shua
车灌 che'guan
律僧 lv'seng
陆缮 liu'shan
冒变 mo'bian
虚度 xu'du
牌场 pai'chang
会斯 hui'si
店坨 dian'tuo
等离 deng'li
黔鳄 qian'e
磨快 mo'kuai
武对 wu'dui
压若 ya'ruo
佛部 bo'bu
惊鸟 jing'niao
长胜 chang'sheng
斜接 xia'jie
朱鸾 shu'luan
楼得 lou'dei
跳山 tao'shan
干刮 gan'gua
东台 dong'tai
纳接 na'jie
次参 ci'shen
失言 shi'yan
拓桥 ta'qiao
旺亲 wang'qing
培甲 pei'jia
兰竹 lan'zhu
创导 chuang'dao
老楼 lao'lou
首师 shou'shi
郭麟 guo'lin
城大 cheng'tai
程犁 cheng'li
帽上 mao'shang
所格 suo'ge
蛮有 man'you
平台 ping'tai
药摊 yao'tan
晶花 jing'hua
湖笔 hu'bi
恶来 e'lai
板公 ban'gong
乔武 qiao'wu
瓦标 wa'biao
虚弹 xu'dan
永浓 yong'nong
玛洛 ma'luo
呢话 ne'hua
妮晨 ni'chen
波仑 bo'lun
带圈 dai'quan
桥式 qiao'shi
如有 ru'you
乐圆 yue'yuan
龙探 long'tan
结棍 jie'hun
折梅 she'mei
宝蟾 bao'chan
茶罐 cha'guan
组曲 zu'qu
坎兹 kan'zi
拖打 tuo'da
亟归 qi'gui
孝场 xiao'chang
尚台 shang'tai
八七 ba'qi
老椿 lao'chun
小旁 xiao'pang
营配 ying'pei
蒙白 meng'bai
操持 cao'chi
钟岐 zhong'qi
噶丹 ga'dan
百旭 bai'xu
月了 yue'le
仙台 xian'tai
福清 fu'qing
蒙宜 meng'yi
给它 gei'ta
极得 ji'dei
立绕 li'rao
陡港 dou'gang
侃乐 kan'le
订住 ding'zhu
于直 yu'zhi
邪鳞 xu'lin
识身 zhi'shen
梅庙 mei'miao
万舒 wan'shu
法院 fa'yuan
迪庄 di'zhuang
枪虾 qiang'xia
章衷 zhang'zhong
潜庐 qian'lu
丁帐 zheng'zhang
长舍 chang'she
冬愿 dong'yuan
捡魂 jian'hun
六盛 lu'sheng
桐照 tong'zhao
善修 shan'xiu
百相 bai'xiang
灯嘎 deng'ga
垄中 long'zhong
扩张 kuo'zhang
半面 ban'mian
头湾 tou'wan
弄石 long'dan
干月 gan'yue
龙闹 long'nao
克再 ke'zai
楚脚 chu'jue
绿石 lv'shi
石钢 shi'gang
今度 jin'duo
峰瓦 feng'wa
时延 shi'yan
南姜 nan'jiang
西布 xi'bu
风速 feng'su
扫兰 sao'lan
谭记 tan'ji
鸣人 ming'ren
石屹 dan'yi
鸡勒 ji'lei
统圣 tong'sheng
里赤 li'chi
谷度 gu'duo
庙黄 miao'huang
版筑 ban'zhu
陆笑 lu'xiao
龙箱 long'xiang
切锯 qie'ju
桃界 tao'jie
明耻 ming'chi
留其 liu'ji
打独 da'du
孟动 meng'dong
卢升 lu'sheng
遭么 zao'yao
仁化 ren'hua
曼门 man'men
潘姆 pan'mu
公纪 gong'ji
雷乐 lei'yue
那街 nei'jie
领业 ling'ye
昌泰 chang'tai
夹庄 jia'zhuang
食了 si'liao
店名 dian'ming
安堡 an'bu
突明 tu'ming
野化 ye'hua
亚寨 ya'zhai
么眼 me'yan
严约 yan'yue
倒影 dao'ying
青药 qing'yao
双榆 shuang'yu
岩画 yan'hua
缠根 chan'gen
登排 deng'pai
魏地 wei'de
燕屯 yan'tun
无蛋 wu'dan
丁位 ding'wei
巧庄 qiao'zhuang
府兵 fu'bing
丘坡 qiu'po
洞尾 dong'wei
余古 yu'gu
呱太 gua'tai
郑分 zheng'fen
商容 shang'rong
陈婴 chen'ying
庞公 pang'gong
利宏 li'hong
绢带 juan'dai
江下 jiang'xia
噶忙 ga'mang
立功 li'gong
同恒 tong'heng
分立 fen'li
泊村 po'cun
严溪 yan'xi
三街 san'jie
锡塞 xi'sai
赖球 lai'qiu
招魁 zhao'kui
东邢 dong'xing
麻佛 ma'fo
幻玉 huan'yu
银猴 yin'hou
托腰 tuo'yao
唐循 tang'xun
交妈 jiao'ma
病房 bing'fang
煮点 zhu'dian
停歇 ting'xie
冷旋 leng'xuan
蒙学 meng'xue
取现 qu'xian
莫会 mu'hui
南裕 na'yu
油号 you'hao
面谈 mian'tan
牛其 niu'qi
俞用 shu'yong
俗曲 su'qu
段固 duan'gu
司稼 si'jia
黎崇 li'chong
制笔 zhi'bi
大伍 dai'wu
瑶宫 yao'gong
列勇 lie'yong
许陶 hu'tao
铁海 tie'hai
澄苑 cheng'yuan
孬妮 nao'ni
俞震 shu'zhen
就那 jiu'na
辛子 xin'zi
熙圆 xi'yuan
肯据 ken'ju
俗哥 su'ge
反跳 fan'tiao
岗南 gang'nan
罗易 luo'yi
铜针 tong'zhen
陆补 lu'bu
上翠 shang'cui
南集 na'ji
闹交 nao'jiao
务文 wu'wen
黄枝 huang'zhi
强儿 qiang'er
微盟 wei'meng
元臻 yuan'zhen
塞雁 sai'yan
玛戈 ma'ge
巧嘎 qiao'ga
封氏 feng'shi
好声 hao'sheng
么到 mo'dao
芒茂 mang'mao
大传 da'zhuan
回包 hui'bao
夫水 fu'shui
能把 neng'ba
船首 chuan'shou
厚城 hou'cheng
平昨 ping'zuo
马批 ma'pi
两卧 liang'wo
戏班 xi'ban
嘉太 jia'tai
初至 chu'zhi
曲几 qu'ji
下渗 xia'shen
吴清 wu'qing
和见 hu'jian
纽科 niu'ke
水庆 shui'qing
辣么 la'yao
麦瓦 mai'wa
科培 ke'pei
报时 bao'shi
惠鲁 hui'lu
赔牛 pei'niu
态数 tai'shuo
生寒 sheng'han
六备 lu'bei
班想 ban'xiang
种钟 chong'zhong
弯盘 wan'pan
了车 liao'ju
裕窥 yu'kui
卫胞 wei'bao
杜召 du'shao
莫知 mu'zhi
角蟾 jue'chan
路岭 lu'ling
缩身 su'shen
鲜汤 xian'tang
取著 qu'zhu
惩戒 cheng'jie
利边 li'bian
十杂 shi'za
已乎 yi'hu
城武 cheng'wu
且碧 ju'bi
盘成 pan'cheng
炮六 bao'liu
遍礼 bian'li
朵妮 duo'ni
苏溶 su'rong
红鲍 gong'bao
程键 cheng'jian
张卓 zhang'zhuo
八信 ba'shen
港呛 gang'qiang
贡关 gong'guan
曲贾 qu'jia
打杂 da'za
玛堡 ma'bao
视头 shi'tou
龙削 long'xiao
碳棒 tan'bang
阿树 e'shu
阳罗 yang'luo
沙蒙 sha'meng
严条 yan'tiao
雷默 lei'mo
女祸 ru'huo
卷面 juan'mian
台纽 tai'niu
你国 ni'guo
从蓉 zong'rong
冒劲 mao'jing
却中 que'zhong
阿以 e'yi
杨银 yang'yin
老楚 lao'chu
听呵 ting'he
了北 liao'bei
红箭 hong'jian
苏椿 su'chun
色丁 se'ding
纳米 na'mi
大照 dai'zhao
雅佳 ya'jia
过冈 guo'gang
六存 lu'cun
偏坠 pian'zhui
引手 yin'shou
麦里 mai'li
帽化 mao'hua
归已 gui'yi
地关 de'guan
茂蓉 mao'rong
顾莹 gu'ying
曼难 man'nan
啊登 a'deng
科肚 ke'du
洞占 dong'zhan
北陇 bei'long
那毫 nei'hao
平兑 ping'rui
道成 dao'cheng
谭关 tan'guan
汇海 hui'hai
厚稳 hou'wen
卷案 juan'an
屏御 bing'yu
户均 hu'jun
许寨 xu'zhai
占巴 zhan'ba
尼足 ni'zu
么排 ma'pai
县功 xian'gong
建司 jian'si
岩假 yan'jia
鬼虎 gui'hu
红鸟 gong'niao
本次 ben'ci
盘洞 pan'dong
转到 zhuan'dao
内段 nei'duan
胃石 wei'dan
亏格 kui'ge
张法 zhang'fa
行滞 heng'zhi
普客 pu'ke
多括 duo'kuo
石手 shi'shou
某奇 mou'qi
阳掌 yang'zhang
盾卫 dun'wei
韦伦 wei'lun
翻码 fan'ma
邪子 ye'zi
高瑟 gao'se
头花 tou'hua
洋心 yang'xin
返归 fan'gui
陆郑 lu'zheng
中葛 zhong'ge
从柳 zong'liu
满罕 man'han
顶肺 ding'fei
得老 dei'lao
张节 zhang'jie
学北 xue'bei
昭资 zhao'zi
票奴 piao'nu
奥被 yu'pi
昆安 kun'an
个只 ge'zhi
喜啥 xi'sha
东区 dong'qu
反拉 fan'la
大暖 da'nuan
耐果 nai'guo
刊木 kan'mu
簧塞 huang'sai
丘义 qiu'yi
边鹊 bian'que
南风 nan'feng
千子 qian'zi
怡农 yi'nong
报危 bao'wei
谈相 tan'xiang
折藏 she'zang
汤村 tang'cun
基法 ji'fa
忙定 mang'ding
推爆 tui'bao
分篇 fen'pian
鹿利 lu'li
营销 ying'xiao
玉江 yu'jiang
冯树 feng'shu
刘碑 liu'bei
杜宗 du'zong
乾兰 qian'lan
刃部 ren'bu
混联 hun'lian
炙子 zhi'zi
禁线 jin'xian
列门 lie'men
梅湾 mei'wan
对掐 dui'qia
冻脑 dong'nao
六爱 liu'ai
也偶 ye'ou
约炮 yue'bao
搂上 lou'shang
叶拉 xie'la
披山 pi'shan
灯炉 deng'lu
湖适 hu'shi
细腊 xi'la
中洲 zhong'zhou
又阿 you'a
启卡 qi'qia
选饿 xuan'e
团园 tuan'yuan
戈见 ge'jian
津舟 jin'zhou
很重 hen'zhong
顺串 shun'chuan
味果 wei'guo
少火 shao'huo
象新 xiang'xin
哈勃 ha'bo
陆灿 lu'can
传火 zhuan'huo
石筛 shi'shai
四价 si'jie
交林 jiao'lin
旺坊 wang'fang
薛兼 xue'jian
苏为 su'wei
谷滩 gu'tan
毕亨 bi'heng
常盛 chang'cheng
柳和 liu'huo
蛇哨 yi'shao
蟹壳 xie'ke
美卓 mei'zhuo
挖你 wa'ni
四更 si'geng
音狐 yin'hu
腿节 tui'jie
韩行 han'xing
色俄 se'e
平院 ping'yuan
批卡 pi'ka
银铃 yin'ling
银谭 yin'tan
邓隐 deng'yin
展盛 zhan'sheng
加拉 jia'la
拖骨 tuo'gu
木作 mu'zuo
贼了 zei'liao
放眼 fang'yan
除家 chu'jia
西达 xi'da
公仆 gong'pu
子渔 zi'yu
宛香 wan'xiang
丰头 feng'tou
置顶 zhi'ding
他是 ta'shi
壳盖 qiao'he
仪凤 yi'feng
界沟 jie'gou
灯布 deng'bu
勘校 kan'jiao
得发 de'fa
壁江 bi'jiang
煮盐 zhu'yan
古赖 gu'lai
吕丰 lv'feng
彻冲 che'chong
隆前 long'qian
扎塘 za'tang
下思 xia'sai
庭兰 ting'lan
元孟 yuan'meng
面压 mian'ya
陡角 dou'jiao
显力 xian'li
幕斯 mu'si
秀弄 xiu'long
极型 ji'xing
地该 di'gai
别达 bie'da
吾甫 wu'fu
八乡 ba'xiang
杨谈 yang'tan
弯内 wan'nei
喜格 xi'ge
涵口 han'kou
先与 xian'yu
福特 fu'te
手炮 shou'bao
黎兵 li'bing
宅科 zhai'ke
八顶 ba'ding
饮中 yin'zhong
丰岩 feng'yan
龙坦 long'tan
米西 mi'xi
孔海 kong'hai
圆盖 yuan'ge
竹油 zhu'you
珠品 zhu'pin
御剑 yu'jian
博微 bo'wei
据时 ju'shi
弄周 nong'zhou
小鱿 xiao'you
么郎 ma'lang
换模 huan'mu
宇佳 yu'jia
怎龙 zen'long
六营 liu'ying
甲告 jia'gu
日古 ri'gu
婆阴 po'yin
妹古 mei'gu
孙傲 xun'ao
叫石 jiao'dan
假观 jia'guan
傅庄 fu'zhuang
茄夹 qie'jia
工陶 gong'yao
高阅 gao'yue
真赛 zhen'sai
红板 hong'ban
群畜 qun'chu
地说 de'yue
合炒 ge'chao
勒瓦 lei'wa
起肉 qi'rou
堂义 tang'yi
吧都 ba'du
际豪 ji'hao
吕营 lv'ying
物触 wu'chu
会供 kuai'gong
顶印 ding'yin
瓦旗 wa'qi
海冷 hai'leng
殷成 yin'cheng
了给 le'gei
成圈 cheng'quan
辛热 xin're
离到 li'dao
序域 xu'yu
拉表 la'biao
关审 guan'shen
童趣 tong'qu
车巡 ju'xun
极化 ji'hua
望摸 wang'mo
派园 pai'yuan
尼普 ni'pu
小芦 xiao'lu
万路 wan'lu
弄斗 nong'dou
真射 zhen'she
藏浴 zang'yu
下房 xia'fang
好归 hao'gui
黑蓝 hei'lan
胶园 jiao'yuan
李征 li'zheng
碗婆 wan'po
杨叶 yang'xie
改林 gai'lin
巴勃 ba'bei
鳌塘 ao'tang
粤语 yue'yu
泰竹 tai'zhu
弄欺 nong'qi
茅街 mao'jie
伊柱 yi'zhu
弘益 hong'yi
蒋潇 jiang'xiao
羊日 yang'ri
前丁 qian'ding
延熙 yan'xi
方清 fang'qing
六培 lu'pei
锡园 xi'yuan
拓品 ta'pin
福毒 fu'dai
成屯 cheng'tun
扎丁 zha'zheng
顺东 shun'dong
周堂 zhou'tang
毛药 mao'yao
堡头 pu'tou
柳洼 liu'wa
者亮 zhe'liang
业努 ye'nu
南婚 na'hun
曲五 qu'wu
定弄 ding'nong
王陇 wang'long
蝶野 die'ye
四股 si'gu
旁同 bang'tong
和现 he'xian
菜甫 cai'fu
图语 tu'yu
埔兜 bu'dou
滑槽 hua'cao
衡越 heng'yue
沙胆 sha'dan
山槽 shan'cao
西风 xi'feng
炮地 pao'di
酷锅 ku'guo
恩爱 en'ai
林垄 lin'long
卡治 ka'zhi
轴比 zhou'bi
沙会 sha'hui
协南 xie'nan
拆扒 chai'ba
圣餐 sheng'can
龙妙 long'miao
格索 ge'suo
血滞 xie'zhi
帝师 di'shi
蛮店 man'dian
艳黄 yan'huang
派奇 pai'qi
灵符 ling'fu
东丰 dong'feng
金南 jin'nan
墙沟 qiang'gou
足背 zu'bei
功迥 gong'jiong
朱聪 zhu'cong
城川 cheng'chuan
军马 jun'ma
蛇堡 yi'pu
游玩 you'wan
麦奇 mai'ji
米内 mi'nei
台上 tai'shang
桥心 qiao'xin
永特 yong'te
李齐 li'qi
洛浴 luo'yu
宝应 bao'ying
相池 xiang'chi
强量 qiang'liang
古闷 gu'men
平绕 ping'rao
玛弄 ma'long
娇艾 jiao'yi
降坑 xiang'keng
那隘 na'ai
和新 hu'xin
我桑 wo'sang
弯沉 wan'chen
免选 mian'xuan
天宦 tian'huan
芝玛 zhi'ma
僧虔 seng'qian
万涌 mo'yong
英安 ying'an
河屋 he'wu
组坏 zu'pi
亚华 ya'hua
木得 mu'de
宛丹 wan'dan
横炮 heng'pao
项插 xiang'cha
漫岗 man'gang
高魏 gao'wei
抵季 di'ji
欧亦 ou'yi
小卉 xiao'hui
咱么 za'yao
烧根 shao'gen
体武 ben'wu
洪提 hong'ti
金基 jin'ji
分人 fen'ren
山岸 shan'an
老子 lao'zi
单骚 shan'sao
东腰 dong'yao
阜东 fu'dong
紫胶 zi'jiao
柯院 ke'yuan
止鳄 zhi'e
瑟斯 se'si
南沈 nan'chen
博日 bo'ri
鱼队 yu'dui
牛杂 niu'za
螺纹 luo'wen
仙脚 xian'jiao
饮火 yin'huo
细同 xi'tong
轻校 qing'xiao
笋江 sun'jiang
彭氏 peng'shi
数数 shu'shu
教路 jiao'lu
劈石 pi'dan
兴趣 xing'qu
杨孜 yang'zi
阿村 a'cun
机巴 ji'ba
拜下 bai'xia
星那 xing'na
百息 bai'xi
曼嘎 man'ga
冒么 mao'mo
未希 wei'xi
大说 tai'shuo
曾会 ceng'kuai
风越 feng'yue
大坟 da'fen
毕么 bi'me
正甲 zheng'jia
玄狐 xuan'hu
接图 jie'tu
坑尾 keng'wei
孙林 sun'lin
下转 xia'zhuan
黑臂 hei'bi
够哦 gou'e
祛黄 qu'huang
黑鳖 hei'bie
律令 lv'ling
肠粉 chang'fen
切斜 qie'xie
圣蜜 sheng'mi
汤热 tang're
年形 nian'xing
加麻 jia'ma
岭理 ling'li
赶追 gan'dui
鸿卓 hong'zhuo
殷模 yin'mu
半藏 ban'zang
显啊 xian'a
北车 bei'che
初冬 chu'dong
古兑 gu'dui
裕湘 yu'xiang
波本 bo'ben
盟日 ming'ri
蒙路 meng'lu
分神 fen'shen
丘起 qiu'qi
金瑜 jin'yu
宏圣 hong'sheng
干花 gan'hua
中暖 zhong'nuan
那子 na'zi
伊欧 yi'ou
内桂 na'gui
学院 xue'yuan
黑尖 hei'jian
急要 ji'yao
岭脚 ling'jiao
己乃 ji'nai
打熊 da'xiong
东那 dong'na
滇赛 dian'sai
谭落 tan'luo
老铺 lao'pu
叶幽 xie'you
被摄 bei'she
朱七 shu'qi
中强 zhong'qiang
蝉房 chan'fang
五难 wu'nuo
伪螺 wei'luo
村塘 cun'tang
贪著 tan'zhu
月禅 yue'shan
查肉 zha'rou
高本 gao'ben
春奈 chun'nai
复路 fu'lu
总价 zong'jia
能障 neng'zhang
亚爸 ya'ba
穗港 sui'gang
吐水 tu'shui
泽武 ze'wu
丛东 cong'dong
康扬 kang'yang
快皮 kuai'pi
忍恶 ren'wu
夹块 ga'kuai
那齐 na'qi
楼上 lou'shang
燕教 yan'jiao
荷地 he'di
孙路 xun'lu
冶钢 ye'gang
奶盖 nai'he
铁拳 tie'quan
莎的 sha'de
姚庙 yao'miao
张坞 zhang'wu
望川 wang'chuan
忙完 mang'wan
敲校 qiao'xiao
南且 nan'ju
卡冈 qia'gang
园居 yuan'ju
孤兰 gu'lan
能首 neng'shou
客营 ke'ying
董寺 dong'si
塞角 se'jue
永宁 yong'ning
临洪 lin'hong
宜梁 yi'liang
元马 yuan'ma
扇魂 shan'hun
前毛 qian'mao
孤波 gu'bo
得逮 de'dai
纵地 zong'de
戴浅 dai'jian
犯病 fan'bing
三果 san'guo
薛荡 xue'dang
可来 ke'lai
落戈 luo'ge
句连 ju'lian
名品 ming'pin
阿定 a'ding
扎孔 zha'kong
姑里 gu'li
派盛 pai'cheng
弱体 ruo'ti
朱洲 zhu'zhou
顶通 ding'tong
张仪 zhang'yi
顾诚 gu'cheng
地焰 di'yan
布吞 bu'tun
汤寇 shang'kou
也把 ye'ba
都差 du'ci
街南 jie'na
这排 zhe'pai
陇神 long'shen
奥内 ao'nei
两造 liang'zao
业州 ye'zhou
坊庄 fang'zhuang
芒青 wang'qing
型卡 xing'qia
米蒂 mi'di
六围 liu'wei
把仙 ba'xian
两髦 liang'mao
客铺 ke'pu
魏都 wei'du
对兵 dui'bing
契廷 qi'ting
秦云 qin'yun
母关 mu'guan
祝岗 zhu'gang
龙蛮 long'man
对淋 dui'lin
肥婆 fei'po
阿作 a'zuo
献唱 xian'chang
人华 ren'hua
联表 lian'biao
负压 fu'ya
吟阳 yin'yang
吊钳 diao'qian
努汗 nu'han
买人 mai'ren
灯串 deng'chuan
和效 huo'xiao
砂糖 sha'tang
合舒 he'shu
来财 lai'cai
亚古 ya'gu
胜业 sheng'ye
拙赋 zhuo'fu
窑灶 yao'zao
晕晕 yun'yun
差佬 chai'lao
碗单 wan'chan
沙浪 sha'lang
泥尾 ni'yi
岔心 cha'xin
线太 xian'tai
星斑 xing'ban
精志 jing'zhi
顶针 ding'zhen
佑陶 you'yao
维达 wei'da
滑距 hua'ju
沈润 chen'run
阿朗 a'lang
羊道 yang'dao
方圈 fang'juan
童弟 tong'tui
那厘 na'li
家能 jia'neng
元升 yuan'sheng
袁岗 yuan'gang
国么 guo'yao
再作 zai'zuo
殷坡 yin'po
罗错 luo'cuo
叶车 ye'che
跳骨 tao'gu
王胡 wang'hu
啥慌 sha'huang
切杀 qie'sha
神射 shen'she
牙妹 ya'mei
跃同 yue'tong
够贵 gou'gui
龙朗 long'lang
鑫基 xin'ji
曾艾 zeng'yi
结果 jie'guo
保人 bao'ren
品客 pin'ke
黄孔 huang'kong
琼仓 qiong'cang
四帝 si'di
莲中 lian'zhong
织布 zhi'bu
板多 ban'duo
舟墟 zhou'xu
苗高 miao'gao
钱布 qian'bu
汕大 shan'da
壳相 qiao'xiang
罗元 luo'yuan
玉泉 yu'quan
那唐 nei'tang
丁肖 ding'xiao
盐沟 yan'gou
谢庆 xie'qing
坡强 po'qiang
沙米 sha'mi
退光 tui'guang
封桥 feng'qiao
贾皮 jia'pi
仓坊 cang'fang
三独 san'du
朵雷 duo'lei
文界 wen'jie
鱼童 yu'tong
块田 kuai'tian
红盟 gong'ming
上通 shang'tong
仇杀 chou'sha
夹州 xia'zhou
盖保 he'bao
博阿 bo'a
开耳 kai'er
元气 yuan'qi
许乡 xu'xiang
龙傲 long'ao
孔硕 kong'shi
蓝药 lan'yao
关儿 guan'er
所古 suo'gu
不觉 bu'jue
联光 lian'guang
博诚 bo'cheng
沈熙 shen'xi
果低 guo'di
么卓 mo'zhuo
岩前 yan'qian
叶封 ye'feng
大旅 dai'lv
归命 gui'ming
盖溪 ge'xi
卡彭 ka'bang
上笑 shang'xiao
贡却 gong'que
莫贯 mo'guan
愁挺 chou'ting
牵她 qian'jie
棍东 hun'dong
咸进 xian'jin
撒水 sa'shui
蛇地 she'de
没沟 mo'gou
补弦 bu'xian
羊鹿 xiang'lu
梦帝 meng'di
厌雾 yan'wu
差商 ci'shang
女潘 ru'pan
门坏 men'pi
朱模 shu'mo
沟深 gou'shen
银群 yin'qun
浏塘 liu'tang
陆仪 lu'yi
哄烟 hong'yan
兰凤 lan'feng
角洞 jiao'dong
汉坝 han'ba
领钱 ling'qian
水瓶 shui'ping
岩黎 yan'li
尔云 er'yun
说级 shuo'ji
际角 ji'jiao
同盛 tong'sheng
原上 yuan'shang
紫营 zi'ying
古港 gu'gang
邓井 deng'jing
猎山 lie'shan
枪布 qiang'bu
曾园 zeng'yuan
都劝 dou'quan
欧港 ou'jiang
雾骨 wu'gu
柚石 you'shi
涂州 tu'zhou
洞和 dong'he
终检 zhong'jian
八意 ba'yi
叩问 kou'wen
松札 song'zha
乳悬 ru'xuan
逼车 bi'che
凤吟 feng'yin
棍扎 hun'zha
宁启 ning'qi
冷壁 leng'bi
转依 zhuai'yi
美河 mei'he
由夹 you'ga
那仪 na'yi
宝矶 bao'ji
青校 qing'xiao
呢音 ne'yin
蟹了 xie'liao
随想 sui'xiang
舍么 she'me
何事 he'shi
么六 me'liu
秘境 mi'jing
磷虫 lin'chong
还下 hai'xia
巧说 qiao'yue
地崩 de'beng
高腾 gao'teng
治淮 zhi'huai
珍山 zhen'shan
榜石 bang'shi
妙景 miao'jing
到吉 dao'ji
塘兵 tang'bing
邹洞 zou'dong
后扒 hou'ba
下旬 xia'xun
沾光 zhan'guang
密岗 mi'gang
蓝角 lan'jiao
欣巍 xin'wei
卡密 ka'mi
引因 yin'yin
药枕 yao'zhen
相村 xiang'cun
极角 ji'jue
尾索 wei'suo
黑沟 hei'gou
卷石 juan'shi
纳谷 na'gu
久寨 jiu'zhai
冠鲁 guan'lu
漆宝 qi'bao
